id,flight_number,airline,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,aircraft,price
1090,WN3286,Southwest Airlines,MIA,DEN,2026-01-09T22:00:00,2026-01-10T00:01:48.773128,B737,476.94
1091,DL788,Delta Air Lines,DFW,BOS,2026-01-09T05:15:00,2026-01-09T10:24:52.243724,B787,391.83
1092,AA238,American Airlines,JFK,LAX,2026-01-09T18:00:00,2026-01-09T23:46:26.482122,B787,647.01
1093,UA8002,United Airlines,BOS,ORD,2026-01-09T06:00:00,2026-01-09T08:02:50.136855,A320,923.49
1094,WN9178,Southwest Airlines,LAX,MIA,2026-01-09T21:45:00,2026-01-10T00:44:46.862305,A320,303.74
1095,UA7344,United Airlines,DFW,SEA,2026-01-09T18:30:00,2026-01-09T21:23:37.235776,A320,660.85
1096,AA5055,American Airlines,DFW,ATL,2026-01-09T08:45:00,2026-01-09T11:26:24.861962,B738,395.25
1097,DL3836,Delta Air Lines,LAX,MIA,2026-01-09T20:00:00,2026-01-09T22:36:26.810617,B738,111.89
1098,B64856,JetBlue,SEA,BOS,2026-01-09T22:30:00,2026-01-10T02:13:21.706629,A321,289.55
1099,UA8533,United Airlines,BOS,ORD,2026-01-09T22:45:00,2026-01-10T02:04:59.941694,A321,583.54
1100,B64240,JetBlue,DEN,SEA,2026-01-09T09:00:00,2026-01-09T15:09:17.749242,B787,489.27
1101,AA1102,American Airlines,SEA,ATL,2026-01-09T23:15:00,2026-01-10T02:13:09.604626,A320,451.52
1102,UA1166,United Airlines,ATL,LAX,2026-01-09T22:45:00,2026-01-10T03:57:59.062480,B787,67.44
1103,WN8375,Southwest Airlines,ATL,SEA,2026-01-09T23:45:00,2026-01-10T02:46:03.821069,B737,947.19
1104,B61789,JetBlue,ATL,DFW,2026-01-09T10:00:00,2026-01-09T12:26:25.246536,A320,163.64
1105,AA7039,American Airlines,JFK,MIA,2026-01-09T05:30:00,2026-01-09T10:54:50.735596,B787,799.77
1106,AA9501,American Airlines,BOS,LAX,2026-01-09T19:00:00,2026-01-09T21:29:00.657497,B738,623.19
1107,WN4608,Southwest Airlines,JFK,SEA,2026-01-09T20:00:00,2026-01-09T22:38:23.889625,A321,988.94
1108,B69241,JetBlue,BOS,SFO,2026-01-09T19:45:00,2026-01-09T22:43:31.208797,B738,487.35
1109,AA4138,American Airlines,LAX,DEN,2026-01-09T17:30:00,2026-01-09T20:50:58.544295,A321,665.82
1110,DL2525,Delta Air Lines,DEN,JFK,2026-01-09T19:00:00,2026-01-10T00:09:58.741001,B787,354.38
1111,B61084,JetBlue,DEN,SFO,2026-01-09T06:30:00,2026-01-09T09:37:46.558352,A320,866.41
1112,DL404,Delta Air Lines,LAX,BOS,2026-01-09T20:15:00,2026-01-09T23:44:37.257405,A321,655.56
1113,B64810,JetBlue,ORD,SEA,2026-01-09T22:15:00,2026-01-10T00:56:43.443410,B737,992.49
1114,AA6965,American Airlines,DEN,LAX,2026-01-09T05:15:00,2026-01-09T08:24:15.645155,A320,564.82
1115,AA780,American Airlines,JFK,SEA,2026-01-09T07:30:00,2026-01-09T13:29:01.536113,B787,730.64
1116,DL9311,Delta Air Lines,SFO,ATL,2026-01-09T11:45:00,2026-01-09T15:07:39.634527,A321,228.26
1117,DL7087,Delta Air Lines,JFK,LAX,2026-01-09T10:00:00,2026-01-09T12:39:06.662905,A321,693.14
1118,UA8651,United Airlines,BOS,DFW,2026-01-09T05:30:00,2026-01-09T09:09:15.155268,A321,243.01
1119,UA6189,United Airlines,ORD,LAX,2026-01-09T13:45:00,2026-01-09T19:22:53.988903,B787,377.5
1120,DL7350,Delta Air Lines,DEN,BOS,2026-01-09T23:15:00,2026-01-10T02:07:54.027888,A320,160.7
1121,WN7264,Southwest Airlines,DEN,ORD,2026-01-10T22:15:00,2026-01-11T04:04:07.631015,B787,675.88
1122,UA9131,United Airlines,JFK,SEA,2026-01-10T15:45:00,2026-01-10T18:26:02.795503,A321,993.85
1123,DL6875,Delta Air Lines,SEA,BOS,2026-01-10T21:30:00,2026-01-10T23:32:23.708541,A320,413.51
1124,WN5599,Southwest Airlines,ORD,DEN,2026-01-10T10:45:00,2026-01-10T13:28:27.580833,B737,740.35
1125,B62656,JetBlue,BOS,SFO,2026-01-10T20:00:00,2026-01-10T22:30:22.505926,B738,330.35
1126,DL9581,Delta Air Lines,DFW,DEN,2026-01-10T19:15:00,2026-01-11T01:27:34.128878,B787,528.39
1127,AA4683,American Airlines,DEN,SFO,2026-01-10T14:15:00,2026-01-10T16:37:12.928160,A320,996.72
1128,DL3527,Delta Air Lines,MIA,SFO,2026-01-10T19:15:00,2026-01-10T22:24:59.831437,A321,770.74
1129,AA7465,American Airlines,SFO,BOS,2026-01-10T06:30:00,2026-01-10T08:47:03.491211,B738,357.55
1130,B67038,JetBlue,ATL,SEA,2026-01-10T11:00:00,2026-01-10T14:47:46.171658,A321,129.71
1131,UA6346,United Airlines,JFK,DFW,2026-01-10T14:00:00,2026-01-10T17:26:26.758379,A321,714.38
1132,DL8983,Delta Air Lines,SFO,LAX,2026-01-10T13:00:00,2026-01-10T15:08:35.813620,B737,541.22
1133,AA8700,American Airlines,DEN,DFW,2026-01-10T16:30:00,2026-01-10T22:04:29.515524,B787,152.44
1134,DL5202,Delta Air Lines,JFK,SEA,2026-01-10T22:30:00,2026-01-11T00:58:29.072044,B738,814.94
1135,UA4606,United Airlines,MIA,ORD,2026-01-10T17:30:00,2026-01-10T19:36:46.959093,A320,173.67
1136,WN8308,Southwest Airlines,SFO,MIA,2026-01-10T17:15:00,2026-01-10T19:50:35.486788,A320,801.72
1137,B65066,JetBlue,SEA,LAX,2026-01-10T11:30:00,2026-01-10T14:00:33.355540,B737,75.73
1138,UA2655,United Airlines,ATL,DFW,2026-01-10T14:15:00,2026-01-10T16:37:14.691901,A320,340.16
1139,AA4657,American Airlines,DEN,MIA,2026-01-10T23:15:00,2026-01-11T02:43:39.065043,A321,830.26
1140,UA1100,United Airlines,SEA,SFO,2026-01-10T09:30:00,2026-01-10T12:51:45.192998,B738,690.22
1141,UA995,United Airlines,JFK,BOS,2026-01-10T23:45:00,2026-01-11T02:20:17.850280,A320,447.39
1142,UA8496,United Airlines,DEN,ATL,2026-01-10T19:00:00,2026-01-10T21:55:27.187091,B738,641.21
1143,AA6827,American Airlines,DFW,SFO,2026-01-10T17:45:00,2026-01-10T20:51:30.588514,A320,53.39
1144,WN4730,Southwest Airlines,DFW,BOS,2026-01-10T22:30:00,2026-01-11T04:31:24.234763,B787,383.11
1145,WN7012,Southwest Airlines,SEA,MIA,2026-01-10T17:15:00,2026-01-10T20:31:20.257485,B737,746.62
1146,UA6831,United Airlines,ATL,SFO,2026-01-10T17:00:00,2026-01-10T19:36:38.463655,A320,506.13
1147,B65233,JetBlue,MIA,SEA,2026-01-10T19:30:00,2026-01-10T22:59:02.984067,A321,819.69
1148,DL5870,Delta Air Lines,JFK,ORD,2026-01-10T19:15:00,2026-01-10T22:38:26.015807,B738,417.19
1149,B67079,JetBlue,MIA,SEA,2026-01-10T14:30:00,2026-01-10T16:33:53.926951,B737,235.12
1150,UA1939,United Airlines,SFO,ORD,2026-01-10T21:45:00,2026-01-11T00:37:32.816327,B738,468.54
1151,UA5122,United Airlines,BOS,MIA,2026-01-10T14:15:00,2026-01-10T20:11:42.017124,B787,347.37
1152,B68407,JetBlue,JFK,BOS,2026-01-10T14:30:00,2026-01-10T20:45:08.140548,B787,378.32
1153,B67527,JetBlue,ORD,ATL,2026-01-10T22:45:00,2026-01-11T01:27:24.920373,B738,111.89
1154,UA5583,United Airlines,ATL,JFK,2026-01-10T18:45:00,2026-01-10T21:25:34.618992,B737,568.88
1155,B62000,JetBlue,DEN,JFK,2026-01-10T19:45:00,2026-01-10T22:23:44.380650,A320,102.94
1156,B61513,JetBlue,SFO,DEN,2026-01-10T17:45:00,2026-01-10T21:12:08.757906,B738,890.79
1157,UA3676,United Airlines,DEN,BOS,2026-01-10T13:30:00,2026-01-10T16:07:57.653740,A321,783.06
1158,B66352,JetBlue,JFK,BOS,2026-01-10T20:30:00,2026-01-10T23:27:38.760323,A321,974.46
1159,DL2555,Delta Air Lines,DFW,BOS,2026-01-10T17:45:00,2026-01-10T20:25:01.037127,B737,968.08
1160,B62158,JetBlue,DEN,ORD,2026-01-10T13:00:00,2026-01-10T15:48:22.226548,A321,726.98
1161,AA3558,American Airlines,SEA,ORD,2026-01-10T22:15:00,2026-01-11T00:20:45.848558,A320,397.49
1162,WN6132,Southwest Airlines,DFW,ORD,2026-01-10T07:45:00,2026-01-10T10:46:56.762641,A321,502.02
1163,DL1109,Delta Air Lines,DEN,JFK,2026-01-10T19:15:00,2026-01-11T01:01:00.936562,B787,924.4
1164,B69629,JetBlue,LAX,SEA,2026-01-10T12:00:00,2026-01-10T14:23:53.698399,A320,600.09
1165,B67750,JetBlue,BOS,DEN,2026-01-10T05:30:00,2026-01-10T07:41:40.870985,B737,257.98
1166,AA3999,American Airlines,ORD,SFO,2026-01-10T23:15:00,2026-01-11T02:13:25.190655,B738,294.4
1167,AA1480,American Airlines,DFW,DEN,2026-01-10T06:15:00,2026-01-10T09:01:23.452672,B737,862.83
1168,WN2244,Southwest Airlines,DEN,BOS,2026-01-10T10:00:00,2026-01-10T15:16:30.253463,B787,953.58
1169,UA564,United Airlines,DFW,JFK,2026-01-10T07:00:00,2026-01-10T10:08:15.799416,A320,100.11
1170,UA7992,United Airlines,BOS,SEA,2026-01-10T05:30:00,2026-01-10T10:38:27.597718,B787,293.93
1171,B65562,JetBlue,DFW,ATL,2026-01-10T06:30:00,2026-01-10T08:33:30.670097,A320,106.65
1172,DL920,Delta Air Lines,DEN,SFO,2026-01-10T06:30:00,2026-01-10T08:34:32.458696,A320,565.16
1173,B62532,JetBlue,LAX,MIA,2026-01-10T13:00:00,2026-01-10T15:31:01.439859,B737,594.45
1174,B62624,JetBlue,JFK,ORD,2026-01-10T09:45:00,2026-01-10T15:23:51.403462,B787,428.58
1175,B63731,JetBlue,MIA,JFK,2026-01-10T12:00:00,2026-01-10T14:19:12.518161,B737,957.89
1176,AA1923,American Airlines,JFK,LAX,2026-01-10T18:15:00,2026-01-10T20:28:34.480024,B738,854.13
1177,DL4521,Delta Air Lines,SFO,MIA,2026-01-10T12:00:00,2026-01-10T17:59:14.980717,B787,968.22
1178,AA6576,American Airlines,DEN,SEA,2026-01-11T05:15:00,2026-01-11T07:39:54.680922,B738,443.66
1179,AA7843,American Airlines,SEA,SFO,2026-01-11T15:30:00,2026-01-11T18:06:26.568876,B738,124.05
1180,DL3940,Delta Air Lines,SFO,JFK,2026-01-11T21:00:00,2026-01-11T23:16:06.658684,B737,939.53
1181,DL7020,Delta Air Lines,BOS,ATL,2026-01-11T06:15:00,2026-01-11T09:39:45.405470,B738,964.55
1182,DL2833,Delta Air Lines,DEN,SFO,2026-01-11T11:45:00,2026-01-11T14:30:27.329965,B737,926.47
1183,AA2057,American Airlines,ORD,ATL,2026-01-11T21:15:00,2026-01-12T03:27:21.355515,B787,338.34
1184,UA1802,United Airlines,DEN,BOS,2026-01-11T10:15:00,2026-01-11T13:21:38.607626,B737,477.65
1185,UA7380,United Airlines,DFW,SEA,2026-01-11T19:30:00,2026-01-11T22:14:16.541812,A320,556.26
1186,DL6686,Delta Air Lines,DFW,JFK,2026-01-11T10:30:00,2026-01-11T13:50:05.747434,B738,681.09
1187,DL310,Delta Air Lines,SFO,JFK,2026-01-11T19:45:00,2026-01-11T22:24:12.576034,A320,51.15
1188,AA979,American Airlines,SEA,DFW,2026-01-11T08:45:00,2026-01-11T11:54:42.461379,B738,813.85
1189,UA5036,United Airlines,ORD,SFO,2026-01-11T13:15:00,2026-01-11T19:29:50.498486,B787,394.84
1190,WN3824,Southwest Airlines,MIA,ORD,2026-01-11T19:45:00,2026-01-11T22:48:31.884764,A321,891.47
1191,DL8275,Delta Air Lines,SFO,DFW,2026-01-11T20:15:00,2026-01-11T23:55:26.196260,A321,557.62
1192,AA8026,American Airlines,BOS,LAX,2026-01-11T13:15:00,2026-01-11T16:27:22.792554,A321,150.75
1193,WN1069,Southwest Airlines,MIA,DEN,2026-01-11T07:30:00,2026-01-11T10:10:53.270507,B737,641.49
1194,B64785,JetBlue,ORD,MIA,2026-01-11T09:30:00,2026-01-11T12:56:09.107966,A321,490.41
1195,DL7043,Delta Air Lines,BOS,DFW,2026-01-11T08:45:00,2026-01-11T12:20:49.684612,A321,746.31
1196,DL6485,Delta Air Lines,SEA,MIA,2026-01-11T22:15:00,2026-01-12T00:54:50.571056,A320,261.27
1197,WN6920,Southwest Airlines,ORD,SFO,2026-01-11T16:30:00,2026-01-11T19:57:30.367402,A321,968.78
1198,B61773,JetBlue,MIA,SFO,2026-01-11T23:15:00,2026-01-12T01:33:09.381459,B738,643.27
1199,AA1272,American Airlines,DEN,BOS,2026-01-11T09:30:00,2026-01-11T12:33:14.971333,A320,560.09
1200,WN4814,Southwest Airlines,DFW,ATL,2026-01-11T14:30:00,2026-01-11T16:41:21.812529,A320,218.73
1201,UA4405,United Airlines,LAX,ATL,2026-01-11T19:30:00,2026-01-11T22:48:11.590916,A321,416.33
1202,UA9494,United Airlines,LAX,DFW,2026-01-11T10:45:00,2026-01-11T13:13:35.476502,B738,711.99
1203,AA9407,American Airlines,BOS,ATL,2026-01-11T23:45:00,2026-01-12T03:17:15.072726,A321,473.82
1204,WN2592,Southwest Airlines,MIA,JFK,2026-01-11T08:15:00,2026-01-11T11:16:07.026459,A320,973.7
1205,WN7847,Southwest Airlines,ATL,SEA,2026-01-11T09:15:00,2026-01-11T11:49:48.417451,B738,373.62
1206,WN8351,Southwest Airlines,JFK,DEN,2026-01-11T20:15:00,2026-01-12T01:43:57.311866,B787,369.84
1207,WN5539,Southwest Airlines,BOS,SEA,2026-01-11T05:15:00,2026-01-11T07:48:08.191902,B737,105.72
1208,AA4934,American Airlines,DFW,ORD,2026-01-11T20:30:00,2026-01-11T23:11:50.114821,B738,76.14
1209,DL9963,Delta Air Lines,SFO,MIA,2026-01-11T12:45:00,2026-01-11T15:10:17.783095,B737,622.65
1210,WN9604,Southwest Airlines,DEN,ATL,2026-01-11T16:00:00,2026-01-11T19:31:32.019071,A321,588.95
1211,AA2491,American Airlines,ATL,LAX,2026-01-11T23:15:00,2026-01-12T02:09:53.187410,A320,852.01
1212,DL2224,Delta Air Lines,SFO,DEN,2026-01-11T15:00:00,2026-01-11T17:14:33.687981,A320,894.8
1213,DL3788,Delta Air Lines,JFK,MIA,2026-01-11T07:30:00,2026-01-11T09:48:42.156623,B737,300.67
1214,B61509,JetBlue,SFO,DFW,2026-01-11T23:30:00,2026-01-12T01:52:34.993453,B737,529.26
1215,DL4953,Delta Air Lines,MIA,LAX,2026-01-11T11:00:00,2026-01-11T14:20:17.747651,A321,750.54
1216,AA1460,American Airlines,LAX,ORD,2026-01-11T06:45:00,2026-01-11T13:02:09.514287,B787,684.7
1217,DL5510,Delta Air Lines,MIA,DEN,2026-01-11T20:00:00,2026-01-11T22:13:00.712562,B737,974.37
1218,DL1882,Delta Air Lines,ORD,SEA,2026-01-11T06:15:00,2026-01-11T09:10:49.726730,A321,544.89
1219,B68415,JetBlue,DFW,LAX,2026-01-11T21:45:00,2026-01-12T03:36:14.785366,B787,770.49
1220,B68943,JetBlue,BOS,JFK,2026-01-11T23:00:00,2026-01-12T04:42:26.703344,B787,110.21
1221,B66891,JetBlue,ORD,DFW,2026-01-11T16:00:00,2026-01-11T18:24:26.271145,B738,152.91
1222,AA4485,American Airlines,MIA,SEA,2026-01-11T09:15:00,2026-01-11T11:52:32.689369,B737,184.67
1223,UA2517,United Airlines,BOS,SFO,2026-01-11T18:15:00,2026-01-11T20:53:20.614183,A321,565.48
1224,B68817,JetBlue,JFK,ORD,2026-01-11T19:45:00,2026-01-11T22:20:41.409333,B738,706.42
1225,WN7212,Southwest Airlines,SFO,DEN,2026-01-11T12:30:00,2026-01-11T18:05:13.344614,B787,521.77
1226,WN8836,Southwest Airlines,SEA,JFK,2026-01-11T13:00:00,2026-01-11T18:41:40.803791,B787,968.09
1227,WN2689,Southwest Airlines,BOS,DFW,2026-01-12T18:30:00,2026-01-12T20:53:34.729821,B738,554.56
1228,DL9422,Delta Air Lines,LAX,DFW,2026-01-12T21:15:00,2026-01-13T00:16:06.245857,A321,841.59
1229,AA6286,American Airlines,DFW,JFK,2026-01-12T08:00:00,2026-01-12T10:48:53.791002,A321,567.05
1230,DL3484,Delta Air Lines,BOS,MIA,2026-01-12T22:00:00,2026-01-13T01:07:07.087012,A320,742.5
1231,B63752,JetBlue,LAX,MIA,2026-01-12T19:00:00,2026-01-12T21:18:07.100381,B737,136.47
1232,WN5182,Southwest Airlines,DFW,JFK,2026-01-12T13:00:00,2026-01-12T18:40:00.026008,B787,476.67
1233,UA2635,United Airlines,DFW,BOS,2026-01-12T06:15:00,2026-01-12T09:29:41.420162,B737,352.23
1234,WN9563,Southwest Airlines,SEA,ORD,2026-01-12T21:15:00,2026-01-12T23:56:42.570334,B738,292.0
1235,UA471,United Airlines,MIA,ATL,2026-01-12T06:00:00,2026-01-12T08:38:40.678209,A321,98.36
1236,DL7221,Delta Air Lines,BOS,DFW,2026-01-12T19:30:00,2026-01-12T22:01:25.656035,B737,345.24
1237,WN2183,Southwest Airlines,DEN,JFK,2026-01-12T12:30:00,2026-01-12T15:03:53.888872,A320,641.1
1238,UA7187,United Airlines,JFK,BOS,2026-01-12T08:30:00,2026-01-12T11:35:40.712289,A321,765.39
1239,UA8667,United Airlines,DFW,LAX,2026-01-12T13:30:00,2026-01-12T16:39:18.681329,A321,186.15
1240,DL599,Delta Air Lines,DFW,DEN,2026-01-12T23:30:00,2026-01-13T05:18:29.776701,B787,78.52
1241,WN9372,Southwest Airlines,DFW,SFO,2026-01-12T06:00:00,2026-01-12T08:41:00.694112,B737,874.75
1242,DL6589,Delta Air Lines,BOS,ATL,2026-01-12T18:00:00,2026-01-12T21:14:07.762444,B737,169.54
1243,AA4930,American Airlines,ORD,SEA,2026-01-12T12:00:00,2026-01-12T14:48:52.216905,A321,786.99
1244,UA4228,United Airlines,JFK,BOS,2026-01-12T11:00:00,2026-01-12T13:58:43.404185,B738,202.63
1245,AA7692,American Airlines,LAX,MIA,2026-01-12T22:30:00,2026-01-13T01:01:32.540104,A321,513.74
1246,UA3256,United Airlines,ATL,SEA,2026-01-12T15:30:00,2026-01-12T20:44:25.131111,B787,606.78
1247,UA7096,United Airlines,JFK,ATL,2026-01-12T05:45:00,2026-01-12T08:40:42.698697,B738,856.27
1248,AA7916,American Airlines,LAX,SFO,2026-01-12T07:30:00,2026-01-12T09:50:15.102985,B737,264.13
1249,WN677,Southwest Airlines,DFW,SEA,2026-01-12T12:00:00,2026-01-12T15:10:48.966981,A320,418.79
1250,WN5259,Southwest Airlines,DEN,DFW,2026-01-12T05:30:00,2026-01-12T07:56:36.778418,B737,321.89
1251,B68102,JetBlue,JFK,SFO,2026-01-12T10:45:00,2026-01-12T13:57:53.945023,B737,966.13
1252,B69026,JetBlue,LAX,SFO,2026-01-12T06:30:00,2026-01-12T08:31:39.154546,A320,157.15
1253,WN8240,Southwest Airlines,MIA,DFW,2026-01-12T19:15:00,2026-01-12T21:36:27.169608,B737,456.12
1254,UA1657,United Airlines,BOS,LAX,2026-01-12T17:45:00,2026-01-12T20:37:42.580252,A321,698.58
1255,UA3506,United Airlines,SFO,MIA,2026-01-12T07:45:00,2026-01-12T13:41:04.721203,B787,756.36
1256,UA7738,United Airlines,DEN,SEA,2026-01-12T08:15:00,2026-01-12T10:30:06.513571,A320,54.29
1257,UA1947,United Airlines,ORD,LAX,2026-01-12T22:30:00,2026-01-13T00:41:43.873492,B737,354.81
1258,AA438,American Airlines,BOS,ORD,2026-01-12T09:45:00,2026-01-12T13:02:08.124998,B737,66.63
1259,B64435,JetBlue,DFW,SFO,2026-01-12T11:30:00,2026-01-12T14:00:47.772157,A321,258.93
1260,AA4824,American Airlines,DFW,ATL,2026-01-12T12:45:00,2026-01-12T15:47:12.264258,B738,942.55
1261,DL7809,Delta Air Lines,DEN,JFK,2026-01-12T17:45:00,2026-01-12T20:33:27.013196,B737,965.01
1262,UA5383,United Airlines,DEN,DFW,2026-01-12T14:00:00,2026-01-12T16:56:23.298068,A321,139.54
1263,WN8456,Southwest Airlines,MIA,SFO,2026-01-12T08:15:00,2026-01-12T11:50:31.195647,A321,882.76
1264,AA4556,American Airlines,JFK,LAX,2026-01-12T20:15:00,2026-01-12T23:03:21.673538,A320,299.25
1265,WN4911,Southwest Airlines,ATL,SFO,2026-01-12T22:30:00,2026-01-13T01:49:50.933754,A321,237.54
1266,B63298,JetBlue,DFW,SEA,2026-01-12T16:15:00,2026-01-12T21:23:18.466213,B787,587.63
1267,DL9078,Delta Air Lines,DFW,SEA,2026-01-12T07:15:00,2026-01-12T09:52:17.344568,B737,278.8
1268,DL3851,Delta Air Lines,DEN,DFW,2026-01-12T10:30:00,2026-01-12T12:58:48.166846,B737,115.94
1269,DL8262,Delta Air Lines,SEA,SFO,2026-01-12T05:45:00,2026-01-12T08:51:20.470833,B737,150.75
1270,UA4563,United Airlines,DEN,JFK,2026-01-12T22:45:00,2026-01-13T01:28:16.900252,B738,498.27
1271,WN2195,Southwest Airlines,DFW,SFO,2026-01-12T19:15:00,2026-01-12T22:30:59.501338,B737,126.36
1272,B6746,JetBlue,JFK,LAX,2026-01-12T16:45:00,2026-01-12T22:16:25.471561,B787,977.03
1273,B67740,JetBlue,DEN,JFK,2026-01-12T09:30:00,2026-01-12T12:34:57.027985,B737,257.47
1274,UA8446,United Airlines,BOS,JFK,2026-01-12T20:00:00,2026-01-12T22:35:22.708377,A321,566.49
1275,WN8613,Southwest Airlines,DFW,ATL,2026-01-12T21:45:00,2026-01-12T23:58:06.273889,B737,934.0
1276,UA2905,United Airlines,DFW,SFO,2026-01-12T08:00:00,2026-01-12T13:27:23.213727,B787,462.6
1277,AA2968,American Airlines,LAX,SEA,2026-01-12T15:30:00,2026-01-12T17:56:22.708660,B737,396.89
1278,AA1610,American Airlines,BOS,DFW,2026-01-12T15:45:00,2026-01-12T18:21:55.024276,A321,970.27
1279,UA3967,United Airlines,MIA,ORD,2026-01-12T23:45:00,2026-01-13T02:29:10.818408,A321,655.82
1280,B66125,JetBlue,SEA,DEN,2026-01-12T07:30:00,2026-01-12T13:21:57.428440,B787,803.6
1281,DL4631,Delta Air Lines,SEA,SFO,2026-01-12T15:30:00,2026-01-12T18:06:53.359200,B737,970.31
1282,AA8781,American Airlines,DFW,SFO,2026-01-12T11:45:00,2026-01-12T15:06:10.368640,A321,331.55
1283,DL3882,Delta Air Lines,ORD,DEN,2026-01-12T09:30:00,2026-01-12T12:06:22.699764,B738,530.6
1284,UA8925,United Airlines,SEA,JFK,2026-01-12T05:15:00,2026-01-12T08:38:05.249905,B738,882.95
1285,DL7878,Delta Air Lines,ORD,DEN,2026-01-12T17:30:00,2026-01-12T20:45:03.298499,A320,692.78
1286,DL762,Delta Air Lines,MIA,ORD,2026-01-12T19:30:00,2026-01-12T23:10:59.669244,A321,292.34
1287,UA7606,United Airlines,LAX,DFW,2026-01-12T11:00:00,2026-01-12T16:37:04.005051,B787,204.59
1288,AA3902,American Airlines,DEN,ATL,2026-01-13T12:00:00,2026-01-13T15:12:27.727851,A321,102.79
1289,UA2897,United Airlines,ATL,LAX,2026-01-13T19:15:00,2026-01-13T22:29:40.151417,A320,603.62
1290,B61621,JetBlue,ORD,LAX,2026-01-13T21:15:00,2026-01-13T23:39:03.967718,B738,675.27
1291,WN4735,Southwest Airlines,ATL,ORD,2026-01-13T17:45:00,2026-01-13T21:06:47.267782,A321,890.3
1292,WN163,Southwest Airlines,ORD,SFO,2026-01-13T08:00:00,2026-01-13T11:15:52.564706,A320,600.53
1293,B65631,JetBlue,BOS,LAX,2026-01-13T14:45:00,2026-01-13T20:22:37.460221,B787,741.75
1294,DL894,Delta Air Lines,DFW,LAX,2026-01-13T17:00:00,2026-01-13T22:38:40.520625,B787,493.87
1295,UA5558,United Airlines,JFK,ORD,2026-01-13T12:15:00,2026-01-13T17:26:24.153283,B787,331.13
1296,DL2763,Delta Air Lines,SEA,DEN,2026-01-13T09:30:00,2026-01-13T12:36:00.438722,A321,779.04
1297,UA166,United Airlines,JFK,BOS,2026-01-13T15:15:00,2026-01-13T20:47:15.246850,B787,477.72
1298,DL4905,Delta Air Lines,LAX,ORD,2026-01-13T07:15:00,2026-01-13T12:32:58.282400,B787,80.94
1299,DL246,Delta Air Lines,DFW,MIA,2026-01-13T15:30:00,2026-01-13T20:38:12.091693,B787,498.66
1300,AA6397,American Airlines,BOS,DEN,2026-01-13T16:15:00,2026-01-13T18:54:58.235020,A321,576.32
1301,UA3864,United Airlines,ORD,JFK,2026-01-13T21:30:00,2026-01-14T00:43:58.046153,A320,710.49
1302,DL3072,Delta Air Lines,MIA,ATL,2026-01-13T22:15:00,2026-01-14T00:50:31.112910,B738,357.04
1303,WN1087,Southwest Airlines,ATL,BOS,2026-01-13T08:15:00,2026-01-13T14:30:21.226335,B787,455.18
1304,DL2246,Delta Air Lines,ATL,BOS,2026-01-13T16:00:00,2026-01-13T18:05:03.130197,A320,650.98
1305,AA5101,American Airlines,LAX,MIA,2026-01-13T19:30:00,2026-01-13T22:13:00.721634,B738,286.76
1306,UA6663,United Airlines,DFW,ATL,2026-01-13T13:45:00,2026-01-13T16:03:11.131673,A320,345.62
1307,B68032,JetBlue,ORD,SEA,2026-01-13T14:30:00,2026-01-13T17:57:49.240343,B738,363.7
1308,B63418,JetBlue,JFK,SFO,2026-01-13T13:30:00,2026-01-13T15:40:43.027934,A320,260.05
1309,UA3312,United Airlines,SEA,SFO,2026-01-13T22:15:00,2026-01-14T04:17:54.165895,B787,293.73
1310,DL9528,Delta Air Lines,SFO,ATL,2026-01-13T19:00:00,2026-01-13T22:17:06.331881,A321,847.03
1311,AA8527,American Airlines,DEN,JFK,2026-01-13T09:45:00,2026-01-13T12:34:07.554536,A321,228.44
1312,UA3273,United Airlines,SEA,BOS,2026-01-13T19:30:00,2026-01-13T22:10:33.557780,A321,332.02
1313,AA8127,American Airlines,DEN,LAX,2026-01-13T22:15:00,2026-01-14T04:02:51.960176,B787,652.72
1314,WN5479,Southwest Airlines,MIA,BOS,2026-01-13T15:15:00,2026-01-13T17:33:25.475444,B737,734.76
1315,DL3294,Delta Air Lines,LAX,DFW,2026-01-13T10:00:00,2026-01-13T13:32:44.449693,A321,682.38
1316,DL7981,Delta Air Lines,JFK,DFW,2026-01-13T23:45:00,2026-01-14T02:08:03.505231,B738,814.28
1317,UA4341,United Airlines,BOS,SFO,2026-01-13T19:15:00,2026-01-13T22:33:58.341393,B738,353.12
1318,UA8974,United Airlines,SFO,DFW,2026-01-13T09:30:00,2026-01-13T14:39:32.305378,B787,517.0
1319,B67149,JetBlue,MIA,JFK,2026-01-13T17:45:00,2026-01-13T20:56:15.294553,A321,905.8
1320,WN8531,Southwest Airlines,BOS,JFK,2026-01-13T19:00:00,2026-01-14T00:29:58.730131,B787,857.9
1321,DL1158,Delta Air Lines,DFW,SFO,2026-01-13T09:45:00,2026-01-13T14:53:22.592828,B787,498.23
1322,WN8303,Southwest Airlines,SEA,MIA,2026-01-13T11:15:00,2026-01-13T13:30:53.058099,B738,539.27
1323,AA2262,American Airlines,BOS,DEN,2026-01-13T08:45:00,2026-01-13T14:26:50.633593,B787,833.81
1324,AA4291,American Airlines,DFW,SFO,2026-01-13T15:15:00,2026-01-13T17:29:41.603517,B737,66.72
1325,WN4646,Southwest Airlines,BOS,ORD,2026-01-13T05:00:00,2026-01-13T10:37:38.854142,B787,913.76
